起点,起点经度,起点纬度,终点,终点经度,终点纬度,配送类型,优先级,重量kg,时限分钟,巡航高度,数据模式
莲花山公园,114.0535574,22.5563090,观澜山水田园,114.1021587,22.7166911,医疗物资,紧急,1.6,55,100,深圳
前海石公园,113.8853024,22.5300333,甘坑古镇南广场,114.0987618,22.6593599,应急物资,高,2.2,75,100,深圳
宝安公园,113.8978036,22.5892592,大芬油画村广场,114.1383438,22.6141205,普通包裹,普通,1.8,80,80,深圳
欢乐港湾庆典广场,113.8788455,22.5476043,梧桐山森林公园,114.2299737,22.5688993,文件,高,0.8,90,100,深圳
光明虹桥公园,113.9558172,22.7474835,小梅沙海滨公园,114.3227533,22.6035624,冷链物资,高,3.6,110,120,深圳
深圳大学城中心广场,113.9712181,22.5873578,东部华侨城入口广场,114.2875443,22.6266575,医疗物资,紧急,1.4,85,100,深圳
龙华文化广场,114.0340805,22.6577300,大运公园,114.2276230,22.6857605,普通包裹,普通,2.0,70,80,深圳
观澜山水田园,114.1021587,22.7166911,坪山中心公园,114.3433450,22.7103080,应急物资,高,2.8,75,100,深圳
甘坑古镇南广场,114.0987618,22.6593599,马峦山郊野公园,114.3232841,22.6408512,文件,普通,0.6,75,80,深圳
大芬油画村广场,114.1383438,22.6141205,红树林海滨生态公园,113.9930935,22.5249502,医疗物资,紧急,1.9,65,100,深圳
梧桐山森林公园,114.2299737,22.5688993,华侨城湿地公园,113.9761413,22.5292367,冷链物资,高,3.2,85,120,深圳
小梅沙海滨公园,114.3227533,22.6035624,深圳儿童公园,114.1191754,22.5566855,普通包裹,普通,1.3,75,80,深圳
东部华侨城入口广场,114.2875443,22.6266575,荔枝公园,114.0971926,22.5482204,应急物资,紧急,2.5,65,100,深圳
大运公园,114.2276230,22.6857605,深圳湾公园,113.9676752,22.5219168,文件,高,0.9,90,100,深圳
坪山中心公园,114.3433450,22.7103080,大梅沙海滨公园,114.3050995,22.5963001,冷链物资,普通,2.7,60,80,深圳
马峦山郊野公园,114.3232841,22.6408512,坪山湿地公园,114.3521194,22.7088718,医疗物资,高,1.2,40,80,深圳
红树林海滨生态公园,113.9930935,22.5249502,聚龙山生态公园,114.4095000,22.7205000,应急物资,紧急,3.0,105,120,深圳
华侨城湿地公园,113.9761413,22.5292367,公明广场,113.8935000,22.7790000,普通包裹,普通,2.1,90,100,深圳
深圳儿童公园,114.1191754,22.5566855,观澜河湿地公园,114.0555000,22.6935000,文件,高,0.7,55,80,深圳
荔枝公园,114.0971926,22.5482204,银湖山郊野公园,114.0845000,22.6110000,医疗物资,紧急,1.5,40,80,深圳
深圳湾公园,113.9676752,22.5219168,笔架山公园,114.0815000,22.5635000,冷链物资,高,2.4,55,80,深圳
大梅沙海滨公园,114.3050995,22.5963001,洪湖公园,114.1235000,22.5705000,普通包裹,普通,1.6,70,100,深圳
坪山湿地公园,114.3521194,22.7088718,茅洲河碧道公园,113.8825000,22.7530000,应急物资,高,3.4,110,120,深圳
聚龙山生态公园,114.4095000,22.7205000,莲花山公园,114.0535574,22.5563090,文件,高,0.5,100,120,深圳
公明广场,113.8935000,22.7790000,前海石公园,113.8853024,22.5300333,医疗物资,紧急,1.8,85,100,深圳
观澜河湿地公园,114.0555000,22.6935000,宝安公园,113.8978036,22.5892592,冷链物资,普通,2.9,75,100,深圳
银湖山郊野公园,114.0845000,22.6110000,欢乐港湾庆典广场,113.8788455,22.5476043,普通包裹,普通,1.1,75,80,深圳
笔架山公园,114.0815000,22.5635000,光明虹桥公园,113.9558172,22.7474835,应急物资,紧急,2.6,70,100,深圳
洪湖公园,114.1235000,22.5705000,深圳大学城中心广场,113.9712181,22.5873578,文件,高,0.8,60,80,深圳
茅洲河碧道公园,113.8825000,22.7530000,龙华文化广场,114.0340805,22.6577300,医疗物资,高,1.7,65,100,深圳
